id_cliente,rut,nombre,edad,sexo,region,comuna,tipo_deuda,institucion_financiera,monto_deuda,ingreso_mensual,num_cuotas,tasa_interes_anual,dias_mora,estado_deuda,fecha_origen_deuda
C0181,24.647.949-6,Vicente Álvarez Vásquez,73,M,Los Lagos,Puerto Montt,Crédito Automotriz,Banco Estado,16541022,1190825,60,8.9,0,Al día,2022-08-03
C0196,24.516.388-6,Tomás Soto Silva,55,M,Coquimbo,Ovalle,Crédito Estudiantil,Banco Estado,6900247,1855247,72,3.69,7,Mora temprana,2021-11-21
C0390,12.430.103-3,Tomás Sepúlveda Rojas,24,M,Biobío,Los Ángeles,Tarjeta de Crédito,Banco Santander,711234,852525,3,32.06,10,Mora temprana,2024-03-30
C0088,10.842.698-5,Carolina Reyes López,36,F,Los Lagos,Osorno,Crédito de Consumo,Banco Itaú,2672774,1771695,36,20.27,22,Mora temprana,2024-05-20
C0380,9.823.326-1,Martín Contreras Álvarez,61,M,Coquimbo,Coquimbo,Crédito Automotriz,Banco Ripley,4645243,943462,36,12.16,55,Mora media,2025-05-06
C0316,16.679.122-7,Patricia Cortés Pérez,73,F,Los Lagos,Puerto Montt,Crédito de Consumo,Banco de Chile,7850780,1121865,48,15.39,0,Al día,2023-07-26
C0125,14.247.804-8,Ignacio Hernández Castillo,52,M,O'Higgins,Rengo,Crédito Estudiantil,Banco Santander,9459284,2164801,60,2.82,52,Mora media,2025-09-02
C0352,20.054.249-5,Manuel Cortés Rodríguez,23,M,Los Ríos,Valdivia,Crédito Hipotecario,Coopeuch,37120235,736597,240,3.69,118,Mora avanzada,2026-07-30
C0167,11.195.226-4,Isidora Vergara Contreras,69,F,Metropolitana,San Bernardo,Crédito de Consumo,Banco Itaú,3124903,1660866,36,31.64,0,Al día,2023-05-16
C0057,16.892.688-K,Sebastián Pérez Araya,55,M,Coquimbo,La Serena,Crédito Estudiantil,Caja Los Andes,9823994,589110,60,2.05,0,Al día,2022-11-29
C0228,24.579.380-4,Florencia Gutiérrez Fuentes,36,F,Biobío,Concepción,Crédito de Consumo,Banco BCI,8364202,1823268,36,18.99,0,Al día,2026-01-30
C0195,21.033.297-9,Daniela Araya Rodríguez,67,F,Los Ríos,Valdivia,Crédito Estudiantil,Banco de Chile,5045872,989772,48,3.6,78,Mora media,2026-04-08
C0069,8.095.145-0,Catalina Silva Pérez,68,F,Los Ríos,Valdivia,Tarjeta de Crédito,Coopeuch,2539468,895884,3,39.95,0,Al día,2022-03-29
C0234,21.531.730-7,Claudia Cortés Soto,50,F,Antofagasta,Calama,Crédito Estudiantil,Banco de Chile,9248484,1955862,48,2.72,116,Mora avanzada,2023-09-27
C0115,25.425.914-4,Valentina López Rodríguez,68,F,Coquimbo,Ovalle,Crédito Automotriz,Banco BCI,11541658,1807801,60,10.5,0,Al día,2025-10-24
C0102,9.086.671-0,Felipe Castillo Tapia,21,M,Valparaíso,San Antonio,Crédito de Consumo,Banco Santander,2695441,380000,48,15.59,0,Al día,2022-03-20
C0317,8.279.648-7,Eduardo Álvarez Pérez,62,M,Metropolitana,Providencia,Crédito Hipotecario,Coopeuch,54286770,518306,180,3.68,0,Al día,2022-09-04
C0280,18.583.635-5,Constanza Vergara Valenzuela,40,F,Biobío,Concepción,Tarjeta de Crédito,Banco de Chile,2862602,1797280,12,34.57,65,Mora media,2026-05-06
C0227,25.553.870-5,Trinidad Fuentes Reyes,24,F,O'Higgins,Rengo,Crédito Hipotecario,Banco Santander,34081350,755004,120,4.35,62,Mora media,2025-06-20
C0150,11.122.718-7,Cristóbal Rojas González,37,M,Antofagasta,Calama,Crédito Automotriz,Banco de Chile,4464604,657887,36,10.02,17,Mora temprana,2024-04-17
C0182,9.542.884-3,Pedro Rodríguez Muñoz,,M,Los Ríos,Valdivia,Crédito de Consumo,Banco Falabella,2026457,2001788,12,18.88,0,Al día,2026-05-02
C0214,13.486.606-3,Manuel Contreras Martínez,41,M,Antofagasta,Tocopilla,Crédito de Consumo,Banco de Chile,812765,1808526,24,21.33,6,Mora temprana,2023-12-03
C0174,15.148.954-0,Valentina Morales Rodríguez,74,F,Los Lagos,Osorno,Crédito de Consumo,Banco Santander,2696676,1898030,12,24.02,0,Al día,2022-12-08
C0250,22.604.155-9,Marcela Flores Flores,18,F,Valparaíso,Viña del Mar,Crédito Hipotecario,Banco BCI,111993526,1316359,300,6.01,0,Al día,2021-12-07
C0278,19.475.376-4,Cristóbal Martínez Rojas,42,M,Araucanía,Villarrica,Crédito Automotriz,CMR Falabella,11665502,1120496,24,11.91,0,Al día,2024-12-20
C0098,10.117.302-K,Marcela Espinoza Álvarez,66,F,Coquimbo,Coquimbo,Tarjeta de Crédito,Coopeuch,3492103,1198983,3,40.42,23,Mora temprana,2023-11-24
C0005,23.396.513-8,Ximena Morales Vergara,67,F,Metropolitana,La Florida,Crédito Automotriz,Banco Ripley,7491946,1343433,24,8.48,252,Mora avanzada,2025-05-22
C0262,20.700.973-3,Nicolás Torres Cortés,47,M,Metropolitana,Santiago,Crédito Estudiantil,Banco Ripley,9747185,596478,48,4.5,0,Al día,2023-07-13
C0085,23.526.026-3,Carlos Muñoz Rodríguez,50,M,Valparaíso,Quilpué,Crédito de Consumo,Banco Estado,6486390,499307,36,16.3,85,Mora media,2026-01-28
C0251,21.020.213-7,Verónica Reyes Pérez,19,F,Antofagasta,Tocopilla,Crédito de Consumo,Banco de Chile,1210467,380000,24,28.5,19,Mora temprana,2021-12-22
C0285,16.647.474-4,Ignacio Martínez Flores,72,M,Los Ríos,Valdivia,Crédito de Consumo,Banco Santander,3914941,556495,36,23.1,15,Mora temprana,2022-05-29
C0144,10.705.054-K,Constanza Contreras Valenzuela,51,F,Los Lagos,Castro,Tarjeta de Crédito,CMR Falabella,1644691,545715,12,30.39,0,Al día,2022-09-03
C0399,24.461.321-7,Benjamín Cortés Espinoza,66,M,Maule,Talca,Tarjeta de Crédito,Banco Falabella,813554,1374227,12,37.18,39,Mora media,2025-06-18
C0030,13.340.453-8,Valentina Hernández Pérez,69,F,Antofagasta,Tocopilla,Crédito de Consumo,Coopeuch,5623376,1791629,48,25.42,17,Mora temprana,2024-03-10
C0245,9.363.458-6,Claudia Gutiérrez Gutiérrez,59,F,Coquimbo,Coquimbo,Crédito Automotriz,Banco BCI,10529864,1096628,36,13.88,0,Al día,2025-08-10
C0156,19.126.538-6,Florencia Gutiérrez Bravo,69,F,O'Higgins,San Fernando,Crédito Hipotecario,Banco de Chile,53316996,670300,240,4.0,19,Mora temprana,2022-12-18
C0369,9.852.025-2,Rodrigo Fuentes López,72,M,Valparaíso,Villa Alemana,Tarjeta de Crédito,CMR Falabella,3350843,2008033,12,21.27,0,Al día,2024-07-26
C0205,24.411.365-6,Trinidad Vergara Reyes,58,F,Los Ríos,La Unión,Tarjeta de Crédito,Banco Estado,796522,895412,6,44.38,0,Al día,2025-12-07
C0299,11.066.927-5,Matías Soto Tapia,35,M,Los Ríos,Valdivia,Crédito de Consumo,Banco BCI,1004531,398727,48,26.7,0,Al día,2022-04-05
C0012,22.212.940-0,Josefa Reyes Torres,31,F,O'Higgins,Rancagua,Crédito Automotriz,Banco Itaú,10930103,1588403,36,12.49,43,Mora media,2026-01-19
C0089,24.316.544-K,Andrés López Castillo,68,M,Coquimbo,Coquimbo,Crédito Hipotecario,Coopeuch,106707983,633583,300,5.03,0,Al día,2024-11-06
C0271,24.188.931-9,Rosa Tapia Morales,44,F,Coquimbo,La Serena,Tarjeta de Crédito,Banco Itaú,1175983,911906,12,33.25,22,Mora temprana,2024-05-09
C0036,11.843.085-9,Constanza Contreras Vergara,19,F,Los Ríos,Valdivia,Tarjeta de Crédito,Caja Los Andes,559784,1070373,3,30.56,0,Al día,2024-07-06
C0383,12.998.593-3,Sofía Carrasco Araya,49,F,Araucanía,Padre Las Casas,Crédito Automotriz,Banco Falabella,15247665,410416,60,12.15,0,Al día,2024-09-29
C0261,14.938.186-4,Emilia Soto Soto,54,F,Los Ríos,Valdivia,Crédito Automotriz,Caja Los Andes,3678132,1132448,36,12.33,0,Al día,2025-02-05
C0060,17.651.317-9,Javiera Soto Rojas,57,F,Maule,Curicó,Crédito de Consumo,Banco Itaú,4195475,,48,25.84,0,Al día,2022-11-04
C0253,12.834.372-5,Luis Sepúlveda Valenzuela,23,M,Los Lagos,Puerto Varas,Crédito de Consumo,Banco Estado,2922672,824414,24,17.32,0,Al día,2022-02-09
C0020,22.350.791-3,Felipe Bravo Cortés,72,M,Metropolitana,Puente Alto,Crédito Hipotecario,Banco Falabella,20475894,519701,240,5.81,9,Mora temprana,2025-09-04
C0198,22.658.870-1,María Pérez Espinoza,63,F,Biobío,Concepción,Crédito Automotriz,Banco Ripley,9267813,585319,60,11.1,0,Al día,2024-10-09
C0393,18.634.867-2,Tomás Soto Vergara,63,M,Biobío,Talcahuano,Tarjeta de Crédito,Banco Estado,2489733,1148413,3,29.9,0,Al día,2025-06-06
